w_c,nca,cca_fine_mod,cca_dens,cca_abs_cap ,cca_spec_gr,cca,cca_rep_perc,cfa_mean_part_size,cfa_nfa,cfa_rep_perc, nfa_nfa,age,ft
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,14,1.460377358
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,14,1.572327044
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,14,1.516037736
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,28,1.790880503
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,28,1.743396226
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,28,1.868867925
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,28,1.729559748
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,28,1.820754717
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,28,1.761006289
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,60,2.298427673
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,60,2.074213836
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,60,2.159119497
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,60,2.075471698
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,60,2.044025157
0.43,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,9.13,20,36.55,60,2.086477987
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,14,1.572327044
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,14,1.572327044
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,14,1.729559748
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,14,1.729559748
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,14,2.044025157
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,14,2.044025157
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,28,2.358490566
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,28,3.144654088
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,28,3.144654088
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,28,3.144654088
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,28,3.144654088
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,28,2.51572327
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,60,3.616352201
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,60,3.459119497
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,60,3.427672956
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,60,3.490566038
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,60,3.333333333
0.44,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,9.13,20,36.55,60,3.396226415
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,14,1.41509434
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,14,1.572327044
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,14,1.572327044
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,14,1.729559748
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,14,2.044025157
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,14,2.044025157
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,28,2.51572327
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,28,2.672955975
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,28,2.201257862
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,28,2.51572327
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,28,2.358490566
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,28,2.672955975
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,60,2.358490566
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,60,2.51572327
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,60,2.672955975
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,60,2.672955975
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,60,2.987421384
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,9.13,20,36.55,60,3.144654088
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,14,1.572327044
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,14,1.572327044
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,14,1.886792453
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,14,2.044025157
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,14,2.044025157
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,14,2.044025157
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,28,2.201257862
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,28,2.106918239
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,28,2.13836478
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,28,2.13836478
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,28,2.201257862
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,28,2.201257862
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,60,2.358490566
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,60,2.358490566
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,60,2.51572327
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,60,2.51572327
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,60,2.51572327
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,56.84,9.13,20,36.55,60,2.830188679
