w_c,nca,cca_fine_mod,cca_dens,cca_abs_cap ,cca_spec_gr,cca,cca_rep_perc,cfa_mean_part_size,cfa_nfa,cfa_rep_perc, nfa_nfa,age,fc,,,,
0.45,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,4.56,10,41.12,60,28.65,,,,
0.45,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,4.56,10,41.12,60,31.83,,,,
0.45,38.55,5.50,1114.147,14.23,1.92,25.7,40,56.84,4.56,10,41.12,60,28.65,,,,
0.43,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,9.13,20,36.55,14,15.28,,,,
0.43,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,9.13,20,36.55,14,19.10,,,,
0.43,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,9.13,20,36.55,14,22.28,,,,
0.43,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,9.13,20,36.55,14,22.92,,,,
0.43,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,9.13,20,36.55,14,22.92,,,,
0.43,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,9.13,20,36.55,14,22.92,,,,
0.43,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,9.13,20,36.55,28,25.46,,,,
0.43,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,9.13,20,36.55,28,25.46,,,,
0.43,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,9.13,20,36.55,28,25.46,,,,
0.43,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,9.13,20,36.55,28,25.46,,,,
0.43,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,9.13,20,36.55,28,25.46,,,,
0.43,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,9.13,20,36.55,28,25.46,,,,
0.43,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,9.13,20,36.55,60,28.01,,,,
0.43,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,9.13,20,36.55,60,29.28,,,,
0.43,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,9.13,20,36.55,60,28.01,,,,
0.43,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,9.13,20,36.55,60,28.01,,,,
0.43,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,9.13,20,36.55,60,28.01,,,,
0.43,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,9.13,20,36.55,60,28.01,,,,
0.44,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,9.13,20,36.55,14,18.46,,,,
0.44,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,9.13,20,36.55,14,17.83,,,,
0.44,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,9.13,20,36.55,14,19.10,,,,
0.44,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,9.13,20,36.55,14,19.10,,,,
0.44,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,9.13,20,36.55,14,20.37,,,,
0.44,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,9.13,20,36.55,14,21.01,,,,
0.44,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,9.13,20,36.55,28,22.28,,,,
0.44,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,9.13,20,36.55,28,22.28,,,,
0.44,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,9.13,20,36.55,28,22.92,,,,
0.44,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,9.13,20,36.55,28,22.92,,,,
0.44,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,9.13,20,36.55,28,22.92,,,,
0.44,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,9.13,20,36.55,28,22.28,,,,
0.44,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,9.13,20,36.55,60,25.46,,,,
0.44,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,9.13,20,36.55,60,26.10,,,,
0.44,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,9.13,20,36.55,60,26.10,,,,
0.44,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,9.13,20,36.55,60,26.74,,,,
0.44,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,9.13,20,36.55,60,28.65,,,,
0.44,51.41,5.50,1114.147,14.23,1.92,12.85,20,56.84,9.13,20,36.55,60,29.28,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,9.13,20,36.55,14,15.28,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,9.13,20,36.55,14,15.92,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,9.13,20,36.55,14,16.55,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,9.13,20,36.55,14,16.55,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,9.13,20,36.55,14,17.19,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,9.13,20,36.55,14,17.83,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,9.13,20,36.55,28,19.10,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,56.84,9.13,20,36.55,28,19.10,,,,
